StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Q_RecaptchaScore,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4,Q5,Q5_10_TEXT,Q6,Q7_Page Submit
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Q_RecaptchaScore,Do you agree to participate in this survey?,How old are you?,How comfortable are you sharing your name with an AI tool? - Sharing my name,How comfortable are you sharing your location? - Sharing my location,How comfortable are you sharing your photos? - Sharing my photos,How comfortable are you sharing your schoolwork? - Sharing my schoolwork,How comfortable are you sharing your messages? - Sharing my messages,How comfortable are you sharing your search history? - Sharing my search history,What grade are you in?,Which AI tools have you used for schoolwork? (Select all that apply),Which AI tools have you used for schoolwork? - Other - Text,To show you are reading carefully please select Strongly agree.,Timing - Page Submit
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_10_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_PAGESUBMIT""}"
2026-06-01 09:01:00,2026-06-01 09:14:00,IP Address,71.10.0.1,100,742,True,2026-06-01 09:14:00,R_001,0.9,Yes,15,2,3,1,4,2,3,9th grade,"ChatGPT,Google Gemini",,Strongly agree,41.2
2026-06-01 10:02:00,2026-06-01 10:19:00,IP Address,71.10.0.2,100,988,True,2026-06-01 10:19:00,R_002,0.8,Yes,16,4,4,5,3,4,5,10th grade,"ChatGPT,Claude",,Strongly agree,55.0
2026-06-01 11:00:00,2026-06-01 11:01:00,IP Address,71.10.0.3,100,58,True,2026-06-01 11:01:00,R_003,0.2,Yes,14,3,3,3,3,3,3,8th grade,ChatGPT,,Strongly disagree,0.7
2026-06-01 12:05:00,2026-06-01 12:21:00,IP Address,71.10.0.4,100,901,True,2026-06-01 12:21:00,R_004,0.95,Yes,17,1,2,1,1,2,1,11th grade,"ChatGPT,Google Gemini,Microsoft Copilot",,Strongly agree,62.3
2026-06-01 13:10:00,2026-06-01 13:25:00,IP Address,71.10.0.5,100,815,True,2026-06-01 13:25:00,R_005,0.88,Yes,15,3,3,3,3,3,3,9th grade,Claude,,Strongly disagree,48.9
2026-06-01 14:00:00,2026-06-01 14:00:50,IP Address,71.10.0.6,100,49,True,2026-06-01 14:00:50,R_006,0.15,Yes,16,5,1,4,2,5,1,10th grade,ChatGPT,,Strongly agree,0.5
2026-06-01 15:00:00,2026-06-01 15:18:00,IP Address,71.10.0.7,100,1040,True,2026-06-01 15:18:00,R_007,0.91,Yes,16,2,1,2,3,2,1,10th grade,"ChatGPT,Other",I used Perplexity,Strongly agree,71.4
2026-06-01 16:00:00,2026-06-01 16:12:00,IP Address,71.10.0.8,100,702,True,2026-06-01 16:12:00,R_008,0.83,Yes,14,4,5,4,4,5,4,8th grade,Google Gemini,,Strongly agree,39.6
2026-06-01 17:00:00,2026-06-01 17:02:00,IP Address,71.10.0.9,100,121,True,2026-06-01 17:02:00,R_009,0.18,Yes,15,2,2,2,2,2,2,9th grade,ChatGPT,,Strongly disagree,1.1
2026-06-01 18:00:00,2026-06-01 18:20:00,IP Address,71.10.0.10,100,1180,True,2026-06-01 18:20:00,R_010,0.97,Yes,17,1,1,2,1,3,2,11th grade,"Claude,Microsoft Copilot",,Strongly agree,58.2
2026-06-02 09:00:00,2026-06-02 09:16:00,IP Address,71.10.0.11,100,860,True,2026-06-02 09:16:00,R_011,0.86,Yes,16,3,2,4,3,2,3,10th grade,ChatGPT,,Strongly agree,44.7
2026-06-02 10:00:00,2026-06-02 10:05:00,IP Address,71.10.0.12,38,300,False,2026-06-02 10:05:00,R_012,0.79,Yes,15,4,3,,,,,9th grade,,,,22.0
2026-06-02 11:00:00,2026-06-02 11:14:00,IP Address,71.10.0.13,100,795,True,2026-06-02 11:14:00,R_013,0.92,Yes,16,5,4,5,4,5,4,10th grade,"ChatGPT,Google Gemini",,Strongly agree,50.1
2026-06-02 12:00:00,2026-06-02 12:11:00,IP Address,71.10.0.14,100,668,True,2026-06-02 12:11:00,R_014,0.9,No,15,,,,,,,9th grade,,,,12.5
